tool_id,tool_name,category,company,launch_year,users_millions,pricing_model,open_source
1,AI Tool 1,Coding AI,Google,2025,100,Freemium,Yes
2,AI Tool 2,LLM,Amazon,2022,100,Free,No
3,AI Tool 3,LLM,Amazon,2026,148,Freemium,No
4,AI Tool 4,Chatbots,Meta,2024,139,Free,Yes
5,AI Tool 5,Video Generation,Stability AI,2025,62,Freemium,No
6,AI Tool 6,LLM,Meta,2026,111,Freemium,Yes
7,AI Tool 7,Image Generation,Meta,2023,178,Paid,Yes
8,AI Tool 8,Chatbots,HuggingFace,2022,182,Freemium,Yes
9,AI Tool 9,Image Generation,Meta,2026,152,Freemium,Yes
10,AI Tool 10,Image Generation,Anthropic,2023,162,Freemium,Yes
11,AI Tool 11,Coding AI,Microsoft,2023,93,Paid,No
12,AI Tool 12,Image Generation,Anthropic,2023,194,Paid,Yes
13,AI Tool 13,Productivity AI,Anthropic,2022,191,Free,Yes
14,AI Tool 14,LLM,Stability AI,2021,28,Free,No
15,AI Tool 15,Productivity AI,HuggingFace,2026,156,Free,Yes
16,AI Tool 16,Image Generation,Amazon,2020,68,Freemium,No
17,AI Tool 17,Image Generation,Adobe,2022,31,Free,Yes
18,AI Tool 18,AI Agents,Runway,2024,181,Free,No
19,AI Tool 19,LLM,HuggingFace,2025,11,Freemium,Yes
20,AI Tool 20,Coding AI,Adobe,2025,185,Paid,No
21,AI Tool 21,Image Generation,Anthropic,2026,153,Freemium,No
22,AI Tool 22,Image Generation,Amazon,2023,184,Paid,Yes
23,AI Tool 23,Chatbots,Anthropic,2023,123,Paid,No
24,AI Tool 24,Voice AI,Amazon,2023,187,Free,Yes
25,AI Tool 25,Voice AI,Meta,2023,126,Free,Yes
26,AI Tool 26,Coding AI,HuggingFace,2024,132,Paid,No
27,AI Tool 27,Chatbots,Adobe,2023,157,Free,Yes
28,AI Tool 28,Chatbots,Microsoft,2023,192,Freemium,No
29,AI Tool 29,Image Generation,Anthropic,2021,61,Free,Yes
30,AI Tool 30,LLM,HuggingFace,2025,161,Free,No
31,AI Tool 31,LLM,Runway,2023,44,Freemium,No
32,AI Tool 32,Video Generation,Stability AI,2023,1,Freemium,Yes
33,AI Tool 33,AI Agents,Amazon,2025,199,Freemium,No
34,AI Tool 34,Video Generation,OpenAI,2026,16,Free,No
35,AI Tool 35,Voice AI,Meta,2026,51,Freemium,Yes
36,AI Tool 36,LLM,Google,2026,28,Paid,No
37,AI Tool 37,AI Agents,OpenAI,2023,155,Free,No
38,AI Tool 38,Productivity AI,Stability AI,2026,19,Free,No
39,AI Tool 39,AI Agents,Meta,2021,36,Freemium,No
40,AI Tool 40,AI Agents,Google,2025,53,Paid,No
41,AI Tool 41,Productivity AI,HuggingFace,2020,70,Free,Yes
42,AI Tool 42,Chatbots,Stability AI,2025,137,Freemium,Yes
43,AI Tool 43,Video Generation,Amazon,2020,121,Freemium,No
44,AI Tool 44,Productivity AI,Meta,2021,65,Paid,No
45,AI Tool 45,Chatbots,HuggingFace,2025,26,Free,No
46,AI Tool 46,Productivity AI,Microsoft,2023,171,Freemium,No
47,AI Tool 47,LLM,OpenAI,2025,59,Free,No
48,AI Tool 48,Productivity AI,Runway,2023,120,Free,No
49,AI Tool 49,Productivity AI,Anthropic,2022,87,Free,No
50,AI Tool 50,Image Generation,Google,2023,128,Free,Yes
51,AI Tool 51,LLM,Amazon,2026,192,Free,No
52,AI Tool 52,Video Generation,Runway,2025,153,Freemium,No
53,AI Tool 53,Video Generation,Anthropic,2024,138,Free,Yes
54,AI Tool 54,Image Generation,Meta,2021,53,Free,No
55,AI Tool 55,Productivity AI,Amazon,2023,19,Freemium,No
56,AI Tool 56,Video Generation,Stability AI,2021,192,Free,No
57,AI Tool 57,LLM,Amazon,2022,90,Paid,No
58,AI Tool 58,Productivity AI,Amazon,2026,134,Freemium,Yes
59,AI Tool 59,AI Agents,Amazon,2025,52,Free,Yes
60,AI Tool 60,Productivity AI,Google,2023,136,Paid,Yes
61,AI Tool 61,Video Generation,OpenAI,2020,32,Paid,Yes
62,AI Tool 62,LLM,Anthropic,2023,127,Freemium,Yes
63,AI Tool 63,Voice AI,Google,2021,17,Free,No
64,AI Tool 64,LLM,Microsoft,2020,168,Free,No
65,AI Tool 65,Voice AI,HuggingFace,2024,95,Free,Yes
66,AI Tool 66,Image Generation,Runway,2026,120,Free,Yes
67,AI Tool 67,AI Agents,Google,2021,40,Free,Yes
68,AI Tool 68,Productivity AI,Meta,2025,100,Freemium,Yes
69,AI Tool 69,LLM,OpenAI,2023,125,Paid,No
70,AI Tool 70,Video Generation,OpenAI,2025,68,Paid,Yes
71,AI Tool 71,Image Generation,Microsoft,2026,192,Paid,Yes
72,AI Tool 72,Chatbots,Google,2020,88,Paid,Yes
73,AI Tool 73,Chatbots,HuggingFace,2022,119,Freemium,Yes
74,AI Tool 74,Chatbots,Stability AI,2026,19,Freemium,Yes
75,AI Tool 75,Voice AI,Microsoft,2023,166,Freemium,Yes
76,AI Tool 76,Image Generation,Stability AI,2020,127,Free,Yes
77,AI Tool 77,AI Agents,HuggingFace,2022,196,Paid,Yes
78,AI Tool 78,AI Agents,Anthropic,2026,80,Paid,Yes
79,AI Tool 79,Voice AI,Anthropic,2022,199,Freemium,Yes
80,AI Tool 80,Image Generation,Google,2026,102,Free,No
81,AI Tool 81,Image Generation,Microsoft,2021,97,Free,No
82,AI Tool 82,LLM,Google,2020,24,Free,Yes
83,AI Tool 83,Productivity AI,OpenAI,2023,58,Paid,Yes
84,AI Tool 84,Image Generation,Runway,2025,28,Free,No
85,AI Tool 85,Coding AI,Amazon,2024,31,Paid,Yes
86,AI Tool 86,Image Generation,Runway,2024,110,Paid,No
87,AI Tool 87,Video Generation,Adobe,2025,134,Free,No
88,AI Tool 88,Productivity AI,Runway,2026,6,Paid,No
89,AI Tool 89,Coding AI,Google,2020,188,Free,Yes
90,AI Tool 90,Image Generation,Meta,2025,61,Free,No
91,AI Tool 91,Voice AI,OpenAI,2026,165,Free,Yes
92,AI Tool 92,Image Generation,HuggingFace,2022,118,Paid,No
93,AI Tool 93,AI Agents,Adobe,2026,56,Free,Yes
94,AI Tool 94,LLM,Meta,2023,49,Freemium,No
95,AI Tool 95,LLM,Meta,2023,31,Free,Yes
96,AI Tool 96,LLM,Microsoft,2024,124,Paid,Yes
97,AI Tool 97,Productivity AI,Amazon,2020,164,Free,No
98,AI Tool 98,AI Agents,HuggingFace,2026,33,Freemium,No
99,AI Tool 99,Chatbots,Stability AI,2026,161,Freemium,Yes
100,AI Tool 100,Productivity AI,Amazon,2026,185,Free,Yes
101,AI Tool 101,Video Generation,Stability AI,2020,73,Freemium,Yes
102,AI Tool 102,AI Agents,OpenAI,2021,44,Freemium,No
103,AI Tool 103,Chatbots,Anthropic,2021,39,Free,No
104,AI Tool 104,Productivity AI,Anthropic,2020,186,Paid,Yes
105,AI Tool 105,AI Agents,HuggingFace,2021,144,Freemium,Yes
106,AI Tool 106,LLM,HuggingFace,2022,151,Freemium,No
107,AI Tool 107,Image Generation,Stability AI,2020,90,Free,No
108,AI Tool 108,Productivity AI,Adobe,2026,135,Free,No
109,AI Tool 109,Image Generation,OpenAI,2020,29,Freemium,No
110,AI Tool 110,Productivity AI,Anthropic,2021,36,Freemium,No
111,AI Tool 111,Coding AI,Runway,2025,24,Freemium,No
112,AI Tool 112,Image Generation,Google,2023,68,Freemium,Yes
113,AI Tool 113,Coding AI,Microsoft,2020,32,Free,Yes
114,AI Tool 114,Coding AI,Adobe,2020,153,Free,No
115,AI Tool 115,Voice AI,OpenAI,2021,149,Freemium,No
116,AI Tool 116,Voice AI,Runway,2023,47,Paid,No
117,AI Tool 117,Voice AI,HuggingFace,2026,63,Freemium,No
118,AI Tool 118,LLM,OpenAI,2024,109,Paid,Yes
119,AI Tool 119,Voice AI,Google,2020,153,Free,No
120,AI Tool 120,Voice AI,Runway,2025,66,Free,No
121,AI Tool 121,Coding AI,Stability AI,2020,92,Freemium,No
122,AI Tool 122,Voice AI,Anthropic,2020,98,Paid,No
123,AI Tool 123,Coding AI,Meta,2026,89,Paid,Yes
124,AI Tool 124,Productivity AI,Meta,2026,179,Paid,Yes
125,AI Tool 125,Coding AI,Adobe,2022,136,Freemium,No
126,AI Tool 126,Video Generation,Amazon,2021,129,Paid,No
127,AI Tool 127,AI Agents,Meta,2021,128,Freemium,Yes
128,AI Tool 128,Coding AI,Runway,2025,187,Freemium,No
129,AI Tool 129,LLM,OpenAI,2020,77,Freemium,No
130,AI Tool 130,AI Agents,OpenAI,2021,32,Freemium,Yes
131,AI Tool 131,Voice AI,Adobe,2021,88,Free,No
132,AI Tool 132,Productivity AI,Stability AI,2023,87,Free,Yes
133,AI Tool 133,Video Generation,Microsoft,2022,45,Freemium,Yes
134,AI Tool 134,Video Generation,Meta,2023,197,Free,Yes
